"admin_name","pop_size","pfpr_u1","mortality_pp_u1","node_id.x","lon.x","lat.x","cluster_id.x","seasonality_archetype.x","deaths_u1","cases_pp_u1","node_id.y","lon.y","lat.y","cluster_id.y","seasonality_archetype.y","clinical_cases_u1","mortality_rate_u1","incidence_u1","frac_u1","pop_size_u1"
"Gahombo",256161.000799576,0.042971525637986,0.000439256465594111,11,29.74184956,-3.01315344,1,"Gitega",112.520375834272,0.114153650654754,11,29.74184956,-3.01315344,1,"Gitega",29241.713396647,3.5720673897939,914.085434118762,0.041422440962985,10610.8139326396
"Gashoho",175175.077974295,0.223285876907659,0.00144021366904409,12,30.20685363,-2.81184823,1,"Gitega",252.289541774443,0.595581752934182,12,30.20685363,-2.81184823,1,"Gitega",104331.080010313,11.8495739813828,4875.47558527161,0.0410763836594381,7195.55871044413
"Gihofi",293350.813541338,0.14510315037312,0.000939314113697465,13,30.11562611,-3.91875872,1,"Gitega",275.548559424012,0.322181422956153,13,30.11562611,-3.91875872,1,"Gitega",94512.1825320935,7.43968070551699,2539.11490991788,0.0422793115523567,12402.6704398515
"Gitega",313416.21747821,0.0674037242070961,0.000504196053625758,14,29.93208819,-3.40581734,1,"Gitega",158.023219994826,0.153651916299499,14,29.93208819,-3.40581734,1,"Gitega",48157.0024148674,3.98494388947464,1213.11087282079,0.04195501331631,13149.3815778458
"Giteranyi",453301.276677646,0.141884987881065,0.00088524932700891,15,30.39329113,-2.56546547,1,"Gitega",401.284650111166,0.392374711511281,15,30.39329113,-2.56546547,1,"Gitega",177863.957664087,7.22955625905557,3190.77853423435,0.041166628935126,18660.8854528075
"Isale",265730.978365878,0.0165130488335715,0.000359124757123744,16,29.40701752,-3.32222774,1,"Gitega",95.4305730659007,0.0290116868325161,16,29.40701752,-3.32222774,1,"Gitega",7709.30392604895,2.93701667371111,232.758666063722,0.0414797074544514,11022.4432442018
"Kabezi",241409.508399963,0.0191624426756,0.000353402890017193,17,29.4070419,-3.49595876,1,"Gitega",85.3148179461767,0.0293803846697149,17,29.4070419,-3.49595876,1,"Gitega",7092.70421971767,2.9045082984191,237.77370558472,0.0411414824564645,9931.94505466079
"Kayanza",291321.219954611,0.00745354944398846,0.000215228349286831,18,29.57431919,-2.89999679,1,"Gitega",62.7005852830568,0.0193464044308723,18,29.57431919,-2.89999679,1,"Gitega",5636.01814053702,1.79390811711005,160.912059677577,0.0406962862566801,11855.6917599181
"Kibumbu",188272.989460859,0.0573473315143121,0.000502536913064385,19,29.75815592,-3.52984716,1,"Gitega",94.6141269370636,0.143877214685365,19,29.75815592,-3.52984716,1,"Gitega",27088.1933241156,4.04997805073454,1140.83823434344,0.042017251895547,7910.71362330457
"Kibuye",229010.83476279,0.0351268974992869,0.000389840205704313,20,29.97990171,-3.64488773,1,"Gitega",89.2776309324424,0.0902968665019521,20,29.97990171,-3.64488773,1,"Gitega",20678.9607740763,3.20194236206436,730.786075296556,0.0411363988244272,9420.68103391713
"Kiganda",181441.287830066,0.0816465924604587,0.000601407973252065,21,29.7194871,-3.29696221,1,"Gitega",109.120237178125,0.161441767843235,21,29.7194871,-3.29696221,1,"Gitega",29292.202267039,4.74084473867885,1260.94094524947,0.0427858634554955,7763.12216628647
"Kinyinya",335969.532434028,0.322863427773575,0.00208328628611547,22,30.41267628,-3.52205978,1,"Gitega",699.920719472436,0.776449187170248,22,30.41267628,-3.52205978,1,"Gitega",260863.270372369,16.8897099072954,6350.45766587334,0.0408665396738629,13729.9122264244
"Kiremba",294281.031087941,0.314653827108741,0.00206781556795616,23,30.02654773,-2.83495738,1,"Gitega",608.518897437835,0.724073209270041,23,30.02654773,-2.83495738,1,"Gitega",213081.010607142,16.5660178775767,5766.4318339362,0.0419100434760331,12333.3308070675
"Kirundo",256307.246344997,0.306639295233158,0.00193801899337424,24,30.06174634,-2.49096793,1,"Gitega",496.728311556054,0.758695717670268,24,30.06174634,-2.49096793,1,"Gitega",194459.210209808,15.9178671810021,6169.85519168459,0.0409905886423568,10506.184900983
"Mabayi",303326.537061169,0.0447485082161765,0.00048831398888429,25,29.25327932,-2.76167182,1,"Gitega",148.118591246798,0.130457961728966,25,29.25327932,-2.76167182,1,"Gitega",39571.3617633058,3.86530751026256,1024.8556090207,0.0424529023890276,12877.0918698596
"Makamba",295318.120745996,0.06461623717195,0.000634551121477564,26,29.92731052,-4.1790986,1,"Gitega",187.394444712018,0.129434243674959,26,29.92731052,-4.1790986,1,"Gitega",38224.2776022683,5.03660524714992,1019.13872632727,0.0420471911366519,12417.2974691237
"Matana",269314.261921348,0.0137148774775661,0.000287008149197232,27,29.69986058,-3.78483474,1,"Gitega",77.2953878664648,0.0219250566491259,27,29.69986058,-3.78483474,1,"Gitega",5904.73044904309,2.37432742722341,179.259730817013,0.0405440101729146,10919.0801750501
"Mpanda",237180.714274938,0.0602552513321799,0.000601757805575317,28,29.3715791,-3.19732191,1,"Gitega",142.725346146873,0.133408823701113,28,29.3715791,-3.19732191,1,"Gitega",31642.0000960092,4.76583348494656,1041.17104159175,0.0424545368872159,10069.3973831216
"Mukenke",165895.919547284,0.278082387620412,0.00172553621302689,29,30.2945314,-2.59545461,1,"Gitega",286.259416772234,0.835311976805709,29,30.2945314,-2.59545461,1,"Gitega",138574.848501043,13.8956379463086,6707.11217240517,0.0414663686384407,6879.10135556077
"Muramvya",194198.551247032,0.0152501845651278,0.00031122953196438,30,29.59502105,-3.24965852,1,"Gitega",60.4403242127745,0.0242123530863836,30,29.59502105,-3.24965852,1,"Gitega",4702.00389165731,2.58293747000828,197.385610222785,0.0405667246026313,7877.99914666834
"Murore",149893.801163942,0.289659248316162,0.00177385128250603,31,30.73189158,-3.13601584,1,"Gitega",265.889311434363,0.660863498765831,31,30.73189158,-3.13601584,1,"Gitega",99059.3418805124,14.4285202404904,5326.12274528318,0.0414169404685397,6208.14263941011
"Musema",287439.683206241,0.0341687000799634,0.000383778204132873,32,29.68877279,-3.1146423,1,"Gitega",110.313085417413,0.0891421722075468,32,29.68877279,-3.1146423,1,"Gitega",25622.9977396534,3.18459296254356,730.522963370695,0.0409216128667671,11762.495438712
"Mutaho",219384.247581389,0.0854659973000375,0.000600607340455702,33,29.90982779,-3.2165473,1,"Gitega",131.763789477733,0.235266585321964,33,29.90982779,-3.2165473,1,"Gitega",51613.7828019018,5.01104483947879,1924.28187718102,0.0406753806101056,8923.53777023464
