"admin_name","pop_size","pfpr_u1","mortality_pp_u1","node_id.x","lon.x","lat.x","cluster_id.x","seasonality_archetype.x","deaths_u1","cases_pp_u1","node_id.y","lon.y","lat.y","cluster_id.y","seasonality_archetype.y","clinical_cases_u1","mortality_rate_u1","incidence_u1","frac_u1","pop_size_u1"
"Gahombo",256161.000799576,0.0434198612902807,0.000387553701099732,11,29.74184956,-3.01315344,1,"Gitega",99.276143937287,0.12281998471097,11,29.74184956,-3.01315344,1,"Gitega",31461.6902017507,3.18218078894535,1009.77337498962,0.0409593144137522,10492.1789722913
"Gashoho",175175.077974295,0.203869222867877,0.00121298310673759,12,30.20685363,-2.81184823,1,"Gitega",212.484410304261,0.613727947819307,12,30.20685363,-2.81184823,1,"Gitega",107509.841114251,9.84221367738497,4904.9248731812,0.0415818473053244,7284.10334402543
"Gihofi",293350.813541338,0.132462659397845,0.000864673879000751,13,30.11562611,-3.91875872,1,"Gitega",253.652785852815,0.32984947784193,13,30.11562611,-3.91875872,1,"Gitega",96761.6126711156,6.93897385823723,2638.70059532219,0.0417030843263987,12233.6337143321
"Gitega",313416.21747821,0.0590092594992682,0.00047653834321183,14,29.93208819,-3.40581734,1,"Gitega",149.354845012785,0.155452028934288,14,29.93208819,-3.40581734,1,"Gitega",48721.1869078977,3.86030447792128,1229.9905223544,0.0417065163682408,13071.4986043271
"Giteranyi",453301.276677646,0.10998361589877,0.000841008185435162,15,30.39329113,-2.56546547,1,"Gitega",381.230084154109,0.361468568045997,15,30.39329113,-2.56546547,1,"Gitega",163854.163374091,6.65735284293396,2820.43263692977,0.0430187318089681,19500.4460500585
"Isale",265730.978365878,0.012563498424964,0.000313982507187046,16,29.40701752,-3.32222774,1,"Gitega",83.434878824585,0.0252923079672734,16,29.40701752,-3.32222774,1,"Gitega",6720.94974127464,2.58547172773577,204.819017254315,0.0410638801643363,10911.9450515683
"Kabezi",241409.508399963,0.0128127899361124,0.000317817834680671,17,29.4070419,-3.49595876,1,"Gitega",76.7242472310015,0.023796279957671,17,29.4070419,-3.49595876,1,"Gitega",5744.64824632926,2.66608190231299,197.23690472377,0.0406817341873529,9820.95745102683
"Kayanza",291321.219954611,0.00800733106852555,0.000243694254413463,18,29.57431919,-2.89999679,1,"Gitega",70.9933074916595,0.024616538886293,18,29.57431919,-2.89999679,1,"Gitega",7171.32013941501,2.01256274558624,201.525667274926,0.0409157931500008,11919.6387758688
"Kibumbu",188272.989460859,0.0474517256083689,0.000468159957446456,19,29.75815592,-3.52984716,1,"Gitega",88.1418747343127,0.133325007764678,19,29.75815592,-3.52984716,1,"Gitega",25101.4977817482,3.76462050341954,1058.56185138697,0.0418386070209525,7877.07961871281
"Kibuye",229010.83476279,0.0322280063081398,0.000404560487900806,20,29.97990171,-3.64488773,1,"Gitega",92.6487350462051,0.0913696885012093,20,29.97990171,-3.64488773,1,"Gitega",20924.648635678,3.33560307797125,744.427345637184,0.0410472514333891,9400.26531547857
"Kiganda",181441.287830066,0.0594784368825633,0.000559604337259106,21,29.7194871,-3.29696221,1,"Gitega",101.535331627583,0.143019264639564,21,29.7194871,-3.29696221,1,"Gitega",25949.5995607115,4.5600323342505,1163.62338854787,0.0407340607559638,7390.84044211023
"Kinyinya",335969.532434028,0.297849250284465,0.00179593277374376,22,30.41267628,-3.52205978,1,"Gitega",603.378694277637,0.787925241032817,22,30.41267628,-3.52205978,1,"Gitega",264718.874822764,15.1007900862612,6628.71582862409,0.039756620959239,13357.0133548324
"Kiremba",294281.031087941,0.28372583447821,0.00188141873096871,23,30.02654773,-2.83495738,1,"Gitega",553.665844057636,0.749800839613621,23,30.02654773,-2.83495738,1,"Gitega",220652.1641921,15.0133350549695,5988.05661003702,0.0417556986657797,12287.910057163
"Kirundo",256307.246344997,0.292244702877008,0.00177317054956592,24,30.06174634,-2.49096793,1,"Gitega",454.476460859286,0.790609336014885,24,30.06174634,-2.49096793,1,"Gitega",202638.901848622,14.6741415508849,6519.41930075751,0.0404452353002496,10366.4068875824
"Mabayi",303326.537061169,0.0401272264307981,0.000471660557901964,25,29.25327932,-2.76167182,1,"Gitega",143.067163696742,0.126067030430945,25,29.25327932,-2.76167182,1,"Gitega",38239.4757782035,3.70592298242891,983.559300674166,0.0426066860012396,12923.7385204086
"Makamba",295318.120745996,0.0550126026113474,0.000522474192793476,26,29.92731052,-4.1790986,1,"Gitega",154.29609675405,0.12675883002218,26,29.92731052,-4.1790986,1,"Gitega",37434.1794701112,4.27484036634652,1020.37871976625,0.0415096320639185,12258.5465339741
"Matana",269314.261921348,0.00916345215418447,0.000249829422760383,27,29.69986058,-3.78483474,1,"Gitega",67.2826265969489,0.0176903495848314,27,29.69986058,-3.78483474,1,"Gitega",4764.26344156951,2.04965398327964,143.203363206511,0.0414708401046411,11168.6886940397
"Mpanda",237180.714274938,0.0499039116646748,0.000497409960359244,28,29.3715791,-3.19732191,1,"Gitega",117.976049685474,0.124501595100502,28,29.3715791,-3.19732191,1,"Gitega",29529.3772543063,4.06124921894974,1008.76406933564,0.0410586461109778,9738.31901176361
"Mukenke",165895.919547284,0.26004521683413,0.00149751355067484,29,30.2945314,-2.59545461,1,"Gitega",248.43138752372,0.85367510436125,29,30.2945314,-2.59545461,1,"Gitega",141621.216432633,12.1818738414571,6892.98686633476,0.0414452237158047,6875.59349917633
"Muramvya",194198.551247032,0.00924734575647837,0.000261463519647923,30,29.59502105,-3.24965852,1,"Gitega",50.7758367195765,0.0164841524712267,30,29.59502105,-3.24965852,1,"Gitega",3201.1985284474,2.1966058072147,136.515349425583,0.0404212999275056,7849.75788544335
