"","year","admin_name","seed","access","simday","duration","coverage","net_life_lognormal_mu","net_life_lognormal_sigma","bio_mortality","indoor_net_protection","net_type_PBO","block_initial","kill_initial"
"80",2021,"Bugarama",44,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"81",2021,"Bugarama",51,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"82",2021,"Bugarama",49,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"83",2021,"Bugarama",6,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"84",2021,"Bugarama",5,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"85",2021,"Bugarama",39,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"86",2021,"Bugarama",41,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"87",2021,"Bugarama",48,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"88",2021,"Bugarama",14,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"89",2021,"Bugarama",33,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"90",2021,"Bugarama",25,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"91",2021,"Bugarama",4,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"92",2021,"Bugarama",27,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"93",2021,"Bugarama",47,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"94",2021,"Bugarama",37,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"95",2021,"Bugarama",45,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"96",2021,"Bugarama",26,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"97",2021,"Bugarama",19,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"98",2021,"Bugarama",43,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"99",2021,"Bugarama",21,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"100",2021,"Bugarama",16,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"101",2021,"Bugarama",29,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"102",2021,"Bugarama",23,0.7697939,0,-1,0.69281451,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"103",2021,"Buhiga",1,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"104",2021,"Buhiga",9,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"105",2021,"Buhiga",35,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"106",2021,"Buhiga",4,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"107",2021,"Buhiga",8,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"108",2021,"Buhiga",27,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"109",2021,"Buhiga",43,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"110",2021,"Buhiga",5,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"111",2021,"Buhiga",13,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"112",2021,"Buhiga",10,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"113",2021,"Buhiga",25,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"114",2021,"Buhiga",20,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"115",2021,"Buhiga",24,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"116",2021,"Buhiga",29,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"117",2021,"Buhiga",31,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"118",2021,"Buhiga",12,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"119",2021,"Buhiga",49,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"120",2021,"Buhiga",34,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"121",2021,"Buhiga",18,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"122",2021,"Buhiga",22,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"123",2021,"Buhiga",3,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"124",2021,"Buhiga",40,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"125",2021,"Buhiga",30,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"126",2021,"Buhiga",6,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"127",2021,"Buhiga",44,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"128",2021,"Buhiga",21,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"129",2021,"Buhiga",32,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"130",2021,"Buhiga",51,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"131",2021,"Buhiga",41,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"132",2021,"Buhiga",36,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"133",2021,"Buhiga",38,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"134",2021,"Buhiga",16,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"135",2021,"Buhiga",33,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"136",2021,"Buhiga",50,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"137",2021,"Buhiga",39,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"138",2021,"Buhiga",47,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"139",2021,"Buhiga",42,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"140",2021,"Buhiga",28,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"141",2021,"Buhiga",46,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"142",2021,"Buhiga",26,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"143",2021,"Buhiga",23,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"144",2021,"Buhiga",19,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"145",2021,"Buhiga",2,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"146",2021,"Buhiga",17,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"147",2021,"Buhiga",15,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"148",2021,"Buhiga",48,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"149",2021,"Buhiga",45,0.8801324,0,-1,0.79211916,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
