"","year","admin_name","seed","nets_per_capita","simday","itn_u5","itn_5_10","itn_10_15","itn_15_20","itn_o20","net_life_lognormal_mu","net_life_lognormal_sigma","bio_mortality","indoor_net_protection","net_type_PBO","block_initial","kill_initial"
"4399",2028,"Mutaho",13,0.545209308,2844,0.647787940037097,0.476624058496535,0.443310242192729,0.466690315944074,0.647787940037097,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"4400",2028,"Mutaho",14,0.545209308,2844,0.794667027673254,0.584693540082444,0.543826167063611,0.572507426109123,0.794667027673254,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"4401",2028,"Mutaho",15,0.545209308,2844,0.854110824386142,0.628430605703205,0.584506214173065,0.615332928953872,0.854110824386142,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"4402",2028,"Mutaho",16,0.545209308,2844,0.735146286969217,0.540899861247587,0.50309346374177,0.529626489976224,0.735146286969217,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"4403",2028,"Mutaho",17,0.545209308,2844,0.569422043760657,0.418964646793291,0.38968095657193,0.410232634915931,0.569422043760657,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"4404",2028,"Mutaho",18,0.545209308,2844,0.647787940037097,0.476624058496535,0.443310242192729,0.466690315944074,0.647787940037097,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"4405",2028,"Mutaho",19,0.545209308,2844,0.794667027673254,0.584693540082444,0.543826167063611,0.572507426109123,0.794667027673254,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"4406",2028,"Mutaho",20,0.545209308,2844,0.854110824386142,0.628430605703205,0.584506214173065,0.615332928953872,0.854110824386142,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"4407",2028,"Mutaho",21,0.545209308,2844,0.735146286969217,0.540899861247587,0.50309346374177,0.529626489976224,0.735146286969217,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"4408",2028,"Mutaho",22,0.545209308,2844,0.569422043760657,0.418964646793291,0.38968095657193,0.410232634915931,0.569422043760657,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"4409",2028,"Mutaho",23,0.545209308,2844,0.647787940037097,0.476624058496535,0.443310242192729,0.466690315944074,0.647787940037097,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"4410",2028,"Mutaho",24,0.545209308,2844,0.794667027673254,0.584693540082444,0.543826167063611,0.572507426109123,0.794667027673254,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"4411",2028,"Mutaho",25,0.545209308,2844,0.854110824386142,0.628430605703205,0.584506214173065,0.615332928953872,0.854110824386142,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"4412",2028,"Mutaho",26,0.545209308,2844,0.735146286969217,0.540899861247587,0.50309346374177,0.529626489976224,0.735146286969217,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"4413",2028,"Mutaho",27,0.545209308,2844,0.569422043760657,0.418964646793291,0.38968095657193,0.410232634915931,0.569422043760657,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"4414",2028,"Mutaho",28,0.545209308,2844,0.647787940037097,0.476624058496535,0.443310242192729,0.466690315944074,0.647787940037097,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"4415",2028,"Mutaho",29,0.545209308,2844,0.794667027673254,0.584693540082444,0.543826167063611,0.572507426109123,0.794667027673254,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"4416",2028,"Mutaho",30,0.545209308,2844,0.854110824386142,0.628430605703205,0.584506214173065,0.615332928953872,0.854110824386142,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"4417",2028,"Mutaho",31,0.545209308,2844,0.735146286969217,0.540899861247587,0.50309346374177,0.529626489976224,0.735146286969217,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"4418",2028,"Mutaho",32,0.545209308,2844,0.569422043760657,0.418964646793291,0.38968095657193,0.410232634915931,0.569422043760657,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"4419",2028,"Mutaho",33,0.545209308,2844,0.647787940037097,0.476624058496535,0.443310242192729,0.466690315944074,0.647787940037097,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"4420",2028,"Mutaho",34,0.545209308,2844,0.794667027673254,0.584693540082444,0.543826167063611,0.572507426109123,0.794667027673254,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"4421",2028,"Mutaho",35,0.545209308,2844,0.854110824386142,0.628430605703205,0.584506214173065,0.615332928953872,0.854110824386142,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"4422",2028,"Mutaho",36,0.545209308,2844,0.735146286969217,0.540899861247587,0.50309346374177,0.529626489976224,0.735146286969217,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"4423",2028,"Mutaho",37,0.545209308,2844,0.569422043760657,0.418964646793291,0.38968095657193,0.410232634915931,0.569422043760657,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"4424",2028,"Mutaho",38,0.545209308,2844,0.647787940037097,0.476624058496535,0.443310242192729,0.466690315944074,0.647787940037097,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"4425",2028,"Mutaho",39,0.545209308,2844,0.794667027673254,0.584693540082444,0.543826167063611,0.572507426109123,0.794667027673254,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"4426",2028,"Mutaho",40,0.545209308,2844,0.854110824386142,0.628430605703205,0.584506214173065,0.615332928953872,0.854110824386142,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"4427",2028,"Mutaho",41,0.545209308,2844,0.735146286969217,0.540899861247587,0.50309346374177,0.529626489976224,0.735146286969217,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"4428",2028,"Mutaho",42,0.545209308,2844,0.569422043760657,0.418964646793291,0.38968095657193,0.410232634915931,0.569422043760657,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"4429",2028,"Mutaho",43,0.545209308,2844,0.647787940037097,0.476624058496535,0.443310242192729,0.466690315944074,0.647787940037097,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"4430",2028,"Mutaho",44,0.545209308,2844,0.794667027673254,0.584693540082444,0.543826167063611,0.572507426109123,0.794667027673254,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"4431",2028,"Mutaho",45,0.545209308,2844,0.854110824386142,0.628430605703205,0.584506214173065,0.615332928953872,0.854110824386142,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"4432",2028,"Mutaho",46,0.545209308,2844,0.735146286969217,0.540899861247587,0.50309346374177,0.529626489976224,0.735146286969217,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"4433",2028,"Mutaho",47,0.545209308,2844,0.569422043760657,0.418964646793291,0.38968095657193,0.410232634915931,0.569422043760657,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"4434",2028,"Mutaho",48,0.545209308,2844,0.647787940037097,0.476624058496535,0.443310242192729,0.466690315944074,0.647787940037097,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"4435",2028,"Mutaho",49,0.545209308,2844,0.794667027673254,0.584693540082444,0.543826167063611,0.572507426109123,0.794667027673254,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"4436",2028,"Mutaho",50,0.545209308,2844,0.854110824386142,0.628430605703205,0.584506214173065,0.615332928953872,0.854110824386142,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"4437",2028,"Mutaho",51,0.545209308,2844,0.735146286969217,0.540899861247587,0.50309346374177,0.529626489976224,0.735146286969217,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"4438",2022,"Nyabikere",1,0.544198839,654,0.734329692247498,0.540299033929947,0.502534631473547,0.529038185030851,0.734329692247498,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"4439",2022,"Nyabikere",2,0.544198839,654,0.568631579980402,0.418383045883866,0.389140006874951,0.409663155664236,0.568631579980402,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"4440",2022,"Nyabikere",3,0.544198839,654,0.646965687274026,0.476019068151975,0.442747537873906,0.466097934737098,0.646965687274026,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"4441",2022,"Nyabikere",4,0.544198839,654,0.793952928686972,0.584168126230203,0.543337477208501,0.571992962870575,0.793952928686972,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
"4442",2022,"Nyabikere",5,0.544198839,654,0.853506190204113,0.627985732960239,0.584092435976364,0.614897328196276,0.853506190204113,6.594,0.8,0.4,0.75,1,0.732295084910494,0.506566652462825
"4443",2022,"Nyabikere",6,0.544198839,654,0.734329692247498,0.540299033929947,0.502534631473547,0.529038185030851,0.734329692247498,6.594,0.8,0.4,0.75,1,0.792587530912632,0.702855803114514
"4444",2022,"Nyabikere",7,0.544198839,654,0.568631579980402,0.418383045883866,0.389140006874951,0.409663155664236,0.568631579980402,6.594,0.8,0.4,0.75,1,0.849844325325269,0.506566652462825
"4445",2022,"Nyabikere",8,0.544198839,654,0.646965687274026,0.476019068151975,0.442747537873906,0.466097934737098,0.646965687274026,6.594,0.8,0.4,0.75,1,0.914624737339336,0.702855803114514
