year,admin_name,seed,nets_per_capita,dist_date,simday,itn_u5,itn_5_10,itn_10_15,itn_15_20,itn_o20,net_life_lognormal_mu,net_life_lognormal_sigma,bio_mortality,block_initial,kill_initial,indoor_net_protection
2010,Bubanza,51,0.46,1/10/2010,9,0.660740332,0.486154062,0.452174143,0.476021696,0.660740332,5.827744323,0.8,0.904395702,0.847751058,0.50188534,0.75
2010,Bugarama,1,0.46,1/10/2010,9,0.660740332,0.486154062,0.452174143,0.476021696,0.660740332,5.892646209,0.8,0.934621902,0.73201,0.505747917,0.75
2010,Bugarama,2,0.46,1/10/2010,9,0.499742589,0.367696473,0.341996191,0.360032987,0.499742589,5.806234975,0.8,0.934621902,0.791263113,0.697959548,0.75
2010,Bugarama,3,0.46,1/10/2010,9,0.574325651,0.422572582,0.393036714,0.413765374,0.574325651,5.917664346,0.8,0.934621902,0.849480432,0.505747917,0.75
2010,Bugarama,4,0.46,1/10/2010,9,0.727597511,0.535345685,0.497927499,0.524188073,0.727597511,5.970402738,0.8,0.934621902,0.913456869,0.697959548,0.75
2010,Bugarama,5,0.46,1/10/2010,9,0.795429318,0.585254412,0.544347837,0.573056609,0.795429318,5.880722895,0.8,0.934621902,0.73201,0.505747917,0.75
2010,Bugarama,6,0.46,1/10/2010,9,0.660740332,0.486154062,0.452174143,0.476021696,0.660740332,5.905488976,0.8,0.934621902,0.791263113,0.697959548,0.75
2010,Bugarama,7,0.46,1/10/2010,9,0.499742589,0.367696473,0.341996191,0.360032987,0.499742589,6.015101142,0.8,0.934621902,0.849480432,0.505747917,0.75
2010,Bugarama,8,0.46,1/10/2010,9,0.574325651,0.422572582,0.393036714,0.413765374,0.574325651,5.877182135,0.8,0.934621902,0.913456869,0.697959548,0.75
2010,Bugarama,9,0.46,1/10/2010,9,0.727597511,0.535345685,0.497927499,0.524188073,0.727597511,5.893540132,0.8,0.934621902,0.73201,0.505747917,0.75
2010,Bugarama,10,0.46,1/10/2010,9,0.795429318,0.585254412,0.544347837,0.573056609,0.795429318,5.801226207,0.8,0.934621902,0.791263113,0.697959548,0.75
2010,Bugarama,11,0.46,1/10/2010,9,0.660740332,0.486154062,0.452174143,0.476021696,0.660740332,5.884071006,0.8,0.934621902,0.849480432,0.505747917,0.75
2010,Bugarama,12,0.46,1/10/2010,9,0.499742589,0.367696473,0.341996191,0.360032987,0.499742589,5.903258233,0.8,0.934621902,0.913456869,0.697959548,0.75
2010,Bugarama,13,0.46,1/10/2010,9,0.574325651,0.422572582,0.393036714,0.413765374,0.574325651,5.853813538,0.8,0.934621902,0.73201,0.505747917,0.75
2010,Bugarama,14,0.46,1/10/2010,9,0.727597511,0.535345685,0.497927499,0.524188073,0.727597511,5.883897999,0.8,0.934621902,0.791263113,0.697959548,0.75
2010,Bugarama,15,0.46,1/10/2010,9,0.795429318,0.585254412,0.544347837,0.573056609,0.795429318,5.91964738,0.8,0.934621902,0.849480432,0.505747917,0.75
2010,Bugarama,16,0.46,1/10/2010,9,0.660740332,0.486154062,0.452174143,0.476021696,0.660740332,5.682639751,0.8,0.934621902,0.913456869,0.697959548,0.75
2010,Bugarama,17,0.46,1/10/2010,9,0.499742589,0.367696473,0.341996191,0.360032987,0.499742589,5.870505073,0.8,0.934621902,0.73201,0.505747917,0.75
2010,Bugarama,18,0.46,1/10/2010,9,0.574325651,0.422572582,0.393036714,0.413765374,0.574325651,5.794010805,0.8,0.934621902,0.791263113,0.697959548,0.75
2010,Bugarama,19,0.46,1/10/2010,9,0.727597511,0.535345685,0.497927499,0.524188073,0.727597511,5.898278228,0.8,0.934621902,0.849480432,0.505747917,0.75
2010,Bugarama,20,0.46,1/10/2010,9,0.795429318,0.585254412,0.544347837,0.573056609,0.795429318,5.916816913,0.8,0.934621902,0.913456869,0.697959548,0.75
2010,Bugarama,21,0.46,1/10/2010,9,0.660740332,0.486154062,0.452174143,0.476021696,0.660740332,5.853097056,0.8,0.934621902,0.73201,0.505747917,0.75
2010,Bugarama,22,0.46,1/10/2010,9,0.499742589,0.367696473,0.341996191,0.360032987,0.499742589,5.903028643,0.8,0.934621902,0.791263113,0.697959548,0.75
2010,Bugarama,23,0.46,1/10/2010,9,0.574325651,0.422572582,0.393036714,0.413765374,0.574325651,5.873040661,0.8,0.934621902,0.849480432,0.505747917,0.75
2010,Bugarama,24,0.46,1/10/2010,9,0.727597511,0.535345685,0.497927499,0.524188073,0.727597511,5.925287268,0.8,0.934621902,0.913456869,0.697959548,0.75
